#{"t_start": 1777486191.8570127, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-985.186193,4104,39.208093
-592.596015,2267,94.923168
-1040.775367,3870,135.336319
-436.488737,2085,178.551043
-466.907164,2158,215.725832
-1275.083773,4638,270.054585
-590.196533,2407,316.372109
-639.495964,2227,353.911716
-667.817322,2693,395.820164
515.743044,5941,446.461315
-356.475522,2266,494.47027
40.162543,3924,532.320097
3037.667577,6151,594.626241
2931.310879,5698,639.048287
3347.512304,5513,685.699049
5385.291165,5863,730.211857
199.98,1,730.468141
199.98,1,730.777298
199.98,1,731.04264
199.98,1,731.31838
199.98,1,731.620223
199.98,1,731.899134
199.98,1,732.165916
2345.006896,6172,772.173647
199.98,1,790.143122
1715.278263,6104,830.147932
2279.302165,5956,886.217587
3676.164113,6128,933.04691
4320.771955,6050,992.026172
4143.288918,4410,1038.172772
199.98,1,1038.320585
199.98,1,1038.608581
199.98,1,1038.880768
199.98,1,1039.14898
199.98,1,1039.426521
199.98,1,1039.728186
964.313833,4625,1072.443064
4287.855041,5645,1132.835442
4532.035513,5729,1187.625574
1369.509533,2911,1242.477017
1569.627079,2579,1283.048156
1936.307682,2707,1314.04106
1759.337439,2339,1356.530735
1740.654594,2546,1385.519256
1428.597457,2502,1415.799745
1690.763221,2803,1445.918315
3195.555516,5085,1492.308582
1363.738955,2122,1541.344216
1413.730112,2416,1569.826593
1283.029943,2350,1597.024108
1656.209039,2411,1626.162048
1776.487163,2125,1652.650059
3785.552654,5446,1705.24067
1383.359317,2020,1752.189273
1735.890019,2453,1781.36111
1717.214287,2292,1809.555197
1888.830134,2118,1837.064888
1572.288048,1982,1884.477882
1978.044805,2154,1912.100428
1973.594875,2107,1937.793726
1881.672742,2110,1963.104964
1804.553809,2473,1991.973301
1537.341535,2188,2019.20741
1330.681967,2104,2045.356908
1443.536185,1998,2070.247174
1485.397924,2032,2095.749347
1674.250961,2097,2121.136942
1477.790169,1970,2147.441829
1746.213512,2308,2175.476271
1506.445792,1997,2201.530424
1673.529346,2668,2231.648559
1205.03861,2004,2269.963238
1714.590983,2544,2301.74516
1279.311025,1795,2337.400191
1767.262498,2138,2366.954413
1342.330508,1909,2405.144336
1346.538211,3684,2446.187165
1431.454754,2092,2482.19996
1658.794838,2491,2509.968401
1264.448953,1928,2545.889353
1898.146353,2594,2577.928532
1427.913558,1845,2612.353735
1729.489725,1959,2637.113005
1275.799918,1771,2675.011735
1523.376924,3191,2709.518854
1310.394268,1725,2744.987425
1673.350324,2441,2774.837067
1467.789287,1922,2810.986295
1506.175796,2807,2842.566754
1478.868987,2030,2879.464377
1690.562357,2311,2908.763545
1386.148159,1976,2945.170564
1386.549292,3189,2978.888529
1408.930516,1658,3012.096102
1870.773953,2055,3040.670078
1529.838187,1700,3075.605582
2185.506542,2191,3202.154698
1007.966805,1462,3229.530782
413.535024,2317,3268.981461
804.275562,1445,3296.567114
541.5756,1811,3330.50438
850.043927,1714,3359.398132
236.233719,3141,3401.61696
182.347673,2899,3442.26563
-179.828695,3499,3489.41958
675.584773,2551,3527.730114
-107.477636,4733,3581.709904
1945.777594,1459,3618.668967
199.98,1,3618.789296
199.98,1,3619.007669
199.98,1,3619.186226
199.98,1,3619.390036
199.98,1,3619.633266
199.98,1,3619.873108
-369.67777,2690,3643.032603
38.492291,3440,3696.236228
853.281908,3212,3754.705797
628.267006,4141,3811.002834
-93.520145,4112,3872.662144
1011.79004,2877,3922.199198
1137.717169,2762,3970.723183
1074.22878,3119,4018.233065
1230.807899,2858,4064.871494
