#{"t_start": 1777456360.538478, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
863.15573,1875,19.906611
673.643348,1355,39.224463
-50.02,1,40.996079
-50.02,1,41.545321
-50.02,4,42.136291
1311.675161,2261,64.981121
1800.712814,2421,92.92978
199.98,1,93.154963
199.98,1,93.305422
199.98,1,93.523392
199.98,1,93.695575
199.98,1,93.855875
199.98,1,94.059126
199.98,1,94.202366
199.98,1,94.382801
199.98,1,94.542624
199.98,1,94.770398
199.98,1,94.926277
199.98,1,95.130701
199.98,1,95.28971
314.806984,1489,111.126657
199.98,1,120.514765
199.98,1,120.65608
199.98,1,120.797763
122.103042,638,126.742758
294.944355,1099,140.840942
819.01391,2389,167.277619
1725.098753,3825,216.825842
514.909053,1057,228.206636
2477.32153,3575,265.023175
199.98,1,265.127637
199.98,1,265.283645
199.98,1,265.414116
199.98,1,265.589028
199.98,1,265.752884
199.98,1,265.888438
199.98,1,266.043023
199.98,1,266.15588
199.98,1,266.304073
199.98,1,266.485113
199.98,1,266.643792
199.98,1,266.820418
199.98,1,267.014197
199.98,1,267.24484
199.98,1,267.443153
199.98,1,267.611519
199.98,1,267.80776
199.98,1,267.983445
199.98,1,268.146849
199.98,1,268.281896
199.98,1,268.446494
199.98,1,268.612411
199.98,1,268.74602
199.98,1,268.89125
199.98,1,269.063762
199.98,1,269.226993
199.98,1,269.372276
199.98,1,269.521059
199.98,1,269.671199
199.98,1,269.818168
199.98,1,269.933492
199.98,1,270.081845
199.98,1,270.219085
892.265348,1933,289.226077
699.339712,1181,310.112287
596.386645,965,321.439547
679.977032,1065,336.388217
566.574932,811,346.912913
418.525387,689,358.195036
466.6967,666,367.515855
482.95038,657,376.354867
518.456143,718,388.512017
620.476749,837,400.483441
265.859842,411,407.793406
535.066159,755,416.730997
512.066059,702,428.162826
603.399029,798,438.403551
