#{"t_start": 1777481106.7684839, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
3278.899474,5926,42.638107
4242.713017,5656,85.348518
199.98,1,85.51996
199.98,1,85.685908
199.98,1,86.003028
199.98,1,86.288248
199.98,1,86.644511
199.98,1,86.934338
199.98,1,87.210504
197.94,3,87.525904
-245.483898,372,90.157093
2944.826942,4392,145.612101
2547.70301,4005,198.196884
2757.641009,3377,245.593835
3173.277816,5564,307.589917
2659.923895,3169,359.655408
2521.419674,2995,402.970829
2808.435625,3204,447.189755
2613.529666,2885,488.590975
2742.280142,3031,530.158036
2604.255813,2584,570.468658
2531.984447,2792,614.495188
2612.269403,2716,662.0934
4905.322652,5526,722.577814
2490.401881,2681,769.184172
2762.481502,2604,812.168954
2510.578191,2629,851.678232
2519.297735,2567,890.761773
2660.241744,2768,930.230106
2604.508735,2472,970.125235
2556.064032,2731,1011.490553
2694.416728,2729,1051.808762
2604.694378,2536,1091.371833
2615.188438,2808,1131.705254
2625.234787,2665,1171.756812
2536.189549,2500,1211.961887
3352.693048,5412,1274.067954
2555.02775,2607,1320.962762
2405.541791,2358,1361.037044
2429.866729,2634,1409.615113
2535.360297,2690,1450.719177
2749.468397,2818,1490.862211
2535.355119,2794,1537.216415
2509.321694,2506,1580.356833
2609.048714,2642,1620.144848
2611.98896,2442,1659.373004
2509.519328,2576,1699.962109
2781.578835,2565,1740.117071
2584.804578,2575,1779.95349
2847.698624,2541,1821.165786
2742.501806,2922,1863.447477
2621.764433,2623,1909.360144
5256.118088,5487,1968.233448
199.98,1,1968.542649
199.98,1,1968.860782
199.98,1,1969.179657
198.96,2,1969.56367
199.98,1,1969.896907
199.98,1,1970.239068
198.96,2,1970.570872
2650.333045,2241,1986.451546
199.98,1,1986.618268
199.98,1,1986.784816
199.98,1,1987.08532
199.98,1,1987.350682
199.98,1,1987.643441
199.98,1,1987.903764
199.98,1,1988.164282
199.98,1,1988.449728
199.98,1,1988.762173
199.98,1,1989.049488
199.98,1,1989.359888
199.98,1,1989.705072
199.98,1,1990.065686
199.98,1,1990.391467
199.98,1,1990.729875
-870.39649,842,1997.107651
2467.670119,2216,2062.249774
2484.642982,2577,2102.675215
2288.564933,2559,2144.833467
2965.794064,2768,2188.00737
2709.350534,2340,2232.932987
2616.367917,2604,2273.088051
3924.957842,5615,2335.484868
2569.292877,2593,2385.77305
2765.020027,2700,2426.905649
2672.441637,2734,2468.675339
4152.124648,5443,2530.488067
5437.081136,5651,2600.038435
2621.658762,2554,2648.298304
5467.436535,5784,2714.315202
2605.846713,2467,2761.384647
2475.207148,2643,2801.4562
2659.703089,2373,2841.504286
2510.25234,2559,2883.964282
2689.56196,2544,2918.268159
2646.553057,2556,2961.053699
2624.464246,2424,3001.713685
2413.043911,2587,3040.739873
4479.534094,5605,3102.678522
2447.753151,2551,3150.375239
2732.266506,2537,3190.112159
2711.383974,2712,3229.762969
5463.418459,5779,3292.365825
2672.71645,2697,3342.915688
2575.091643,2459,3387.901821
2799.246623,2690,3427.101034
2769.359505,2764,3470.954538
2804.210884,2478,3509.940711
2474.562411,2647,3553.824737
2811.772395,2757,3595.314991
2620.940843,2526,3636.306824
2739.54395,2371,3675.859421
2444.953999,2703,3719.952522
2731.149713,2526,3759.36638
2549.308787,2570,3798.623699
2709.877525,2773,3839.463402
2591.415065,2548,3879.948875
2652.142315,2654,3917.47037
2802.193337,2587,3957.791138
2472.523571,2509,4000.73104
2644.128519,2483,4038.6915
2597.839643,2463,4077.979991
2789.702247,2588,4118.128726
2687.486936,2297,4156.616881
2464.887418,2731,4197.50265
2616.492328,2587,4238.805441
2796.797285,2731,4280.407424
2666.532752,2383,4320.219105
2453.474765,2564,4362.815269
2838.143207,2298,4403.597763
2799.755732,2718,4444.301985
2630.795268,2385,4486.122602
2467.70818,2692,4530.877204
2766.790604,2674,4572.06675
2574.832083,2590,4611.759063
2724.41487,2500,4651.902314
