#{"t_start": 1775667861.5249803, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-183.580266,183,7.389905
-50.953885,1,9.920639
-62.666346,32,12.761562
-51.011251,1,15.365562
-50.977844,1,17.990031
-53.90964,10,20.772727
-50.904808,1,23.320634
-50.847245,1,25.871247
-50.79626,1,28.376242
-58.334953,21,31.259493
-159.518143,169,35.759931
-50.82816,1,38.337045
-254.497609,312,44.786657
-50.835033,1,47.339896
-153.624943,174,52.026561
-50.923575,1,54.535924
-226.147452,233,59.709588
-50.848502,1,62.269016
-278.731633,343,68.640019
-388.622085,596,79.972808
-55.508167,13,82.757307
-50.920366,1,85.295111
-50.954776,1,87.845893
-50.926209,1,90.475605
-56.456516,16,93.252827
-351.189333,461,100.714534
-498.51347,1000,115.692761
-50.841236,1,118.325402
-53.615729,8,121.254195
-291.574988,335,127.751981
-654.599131,1000,143.697435
-477.845254,1000,157.168245
-289.33296,359,162.889717
-50.873556,1,165.389708
-61.116177,27,168.252234
-51.04028,1,170.864574
-51.063714,1,173.488393
-51.204903,1,176.111723
-55.09835,10,178.759507
-51.427967,1,181.33189
-51.523322,1,183.851748
-51.565983,1,186.385254
-61.700241,26,189.253793
-51.617786,1,191.821097
-51.653164,1,194.365012
-51.783291,1,196.983532
-64.488098,20,199.753808
-51.837073,1,202.333136
-51.856935,1,204.935452
-51.85386,1,207.530187
-58.113943,13,210.254434
-51.081127,1,212.77895
-76.850017,36,215.765318
-152.601941,247,220.886953
-51.499748,1,223.418997
-58.141393,20,226.27253
-51.504256,1,228.847298
-101.292715,1,231.363001
-51.06725,1,233.984111
-56.737293,17,236.75954
-51.019216,1,239.337862
-51.205054,1,241.854687
-51.514019,1,244.440446
-51.796586,1,247.106893
-51.85195,1,249.710087
-51.178984,1,252.239376
-50.915114,1,254.873394
-101.079425,1,257.412834
-53.481332,13,260.154548
-69.31526,5,262.755198
-51.851527,1,265.342492
-101.856373,1,267.9271
-51.848477,1,270.448973
-101.396352,1,273.003039
