#{"t_start": 1775652142.0710151, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-115.133307,152,7.43001
-52.83129,1,9.973205
-53.867791,1,12.554518
-53.871225,1,15.068299
-53.858464,1,17.679003
-53.876782,1,20.28234
-55.228018,7,22.947982
-53.881382,1,25.498875
-101.249648,1,28.113441
-103.584985,1,30.717298
-53.875615,1,33.305454
-57.313831,5,35.943181
-103.877654,1,38.522504
-52.21319,1,41.052074
-53.261286,1,43.669291
-102.183063,1,46.246218
-53.73964,1,48.758904
-53.890557,1,51.261194
