#{"t_start": 1777382985.9493885, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
1.544909,4368,42.581685
-4541.533286,4322,85.200494
-2827.450193,4071,135.950092
-4069.056583,4278,186.136522
-3589.491409,4175,235.785362
-4570.577559,4209,279.118402
-4229.193809,4187,323.171887
-5484.982519,4202,373.251968
-4007.004261,4033,423.603885
-4328.04651,4079,477.267635
-4822.973785,4165,531.836848
-5308.046616,3912,591.065778
-4611.480901,3636,640.409367
-1158.856416,1969,669.308541
99.9,1,669.400148
99.9,1,669.47857
99.9,1,669.646932
99.9,1,669.772836
99.9,1,669.901943
99.9,1,670.032402
99.9,1,670.194155
99.9,1,670.356505
99.9,1,670.479095
99.9,1,670.641304
99.9,1,670.795689
99.9,1,670.961836
99.9,1,671.093701
99.9,1,671.252853
99.9,1,671.37108
99.9,1,671.5503
99.9,1,671.721642
99.9,1,671.854507
99.9,1,671.991524
99.9,1,672.140751
-1769.947179,1719,688.650795
-135.761642,1670,714.293152
99.9,1,714.385176
99.9,1,714.502473
99.9,1,714.66705
99.9,1,714.811432
99.9,1,714.950663
99.9,1,715.088893
99.9,1,715.30451
99.9,1,715.443898
99.9,1,715.61974
-4687.055245,3293,749.877829
99.9,1,765.788845
99.9,1,765.917132
99.9,1,766.061319
-1323.735379,4077,806.077392
-1197.469724,4227,859.357156
-2464.319248,3973,913.820592
-727.161322,3939,965.681931
