#{"t_start": 1775670255.8833325, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-52.933298,1,5.293149
-53.868707,1,7.84852
-53.871063,1,10.403939
-53.866996,1,12.899412
-53.889496,1,15.407469
-53.887312,1,17.919003
-53.842118,1,20.48139
-53.832575,1,23.022212
-53.861689,1,25.568471
-53.864288,1,28.10186
-53.886595,1,30.610769
-53.834711,1,33.177057
-53.876788,1,36.007427
-53.861416,1,38.525068
-53.893633,1,41.050048
-53.863957,1,43.644207
-53.895907,1,46.225678
-53.893258,1,48.739319
-53.886873,1,51.300267
-53.855902,1,53.786924
-53.884283,1,56.39971
-53.86851,1,58.993967
-53.883611,1,61.578797
-53.880519,1,64.146717
-53.885257,1,66.693771
-53.873329,1,69.193084
