#{"t_start": 1777381141.493087, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
58.480771,4102,43.193137
-2319.542864,4166,86.02004
-2084.117432,4183,135.158591
-489.416419,2717,168.997432
99.9,1,169.081756
99.9,1,169.164341
99.9,1,169.283548
99.9,1,169.41769
99.9,1,169.546589
99.9,1,169.686341
99.9,1,169.86618
99.9,1,170.007212
99.9,1,170.155215
99.9,1,170.301251
99.9,1,170.455314
99.9,1,170.589283
99.9,1,170.737571
-5023.303812,4022,210.742274
-5220.689695,3996,260.48929
-4351.900829,3870,311.539743
