#{"t_start": 1775670735.0292976, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-56.055378,17,6.353785
-51.573718,1,8.859575
-51.61661,1,11.528441
-51.536553,1,14.046018
-51.476225,1,16.681422
-58.864232,32,19.844348
-51.379385,1,22.32283
-51.124712,1,24.918706
-51.936326,5,27.837579
-51.141841,1,30.478204
-55.897613,25,33.346719
-51.321436,1,35.941898
-51.385173,1,38.519676
-51.406123,1,41.003322
-51.401613,1,43.614578
-51.429539,1,46.246351
-51.435974,1,49.048273
-54.567905,14,51.840496
-51.428517,1,54.462523
-51.366938,1,57.037839
-51.215686,1,59.690171
-51.877864,5,62.335912
-51.133318,1,64.910697
-51.153607,1,67.503522
-51.19421,1,70.116287
-51.201424,1,72.697087
-51.173073,1,75.321479
-51.159947,1,77.869083
-50.989299,1,80.487587
-50.917089,1,83.097183
-50.909623,1,85.732946
-50.889959,1,88.368989
-63.320624,35,91.337321
-50.895437,1,93.863173
-51.01863,1,96.501507
-57.437056,19,99.341085
-51.072261,1,102.000467
-51.117032,1,104.572537
-51.090362,1,107.128686
-51.12682,1,109.763557
-51.08279,1,112.371139
-51.048639,1,114.980464
-51.061672,1,117.555303
-51.016878,1,120.110008
-50.961295,1,122.67488
-50.967854,1,125.198213
-50.901598,1,127.70819
-50.910342,1,130.288967
-50.86592,1,132.897181
-234.004214,267,138.902901
-399.383083,569,150.030541
-51.165194,1,152.575558
-51.037202,1,155.221432
-51.094112,1,157.782972
-51.151386,1,160.387762
-56.38556,24,163.341581
-50.984964,1,166.935511
-51.03562,1,169.626218
-50.94095,1,172.219271
-52.395475,8,174.836356
-50.951449,1,177.455704
-50.947545,1,180.099661
-53.853896,10,182.839452
-50.966115,1,185.382616
-56.886343,17,188.379163
-58.773088,20,191.338573
-50.960236,1,194.063524
-50.971768,1,196.768753
-51.055198,1,199.43491
-51.269754,1,201.970132
-50.940033,1,204.609932
-50.866075,1,207.237924
-208.43579,188,211.948422
-241.184287,280,217.870645
-181.916106,172,222.654866
-50.922123,1,225.300816
-66.357188,41,228.339682
-251.362655,243,235.865209
-50.902528,1,238.496444
-190.333396,224,243.834447
-246.860992,262,249.581778
-108.459324,69,253.094726
-51.002878,1,256.059104
-54.220412,13,258.84469
-50.936157,1,261.436321
-50.921191,1,263.991249
-129.173082,91,267.639397
-52.305846,6,270.345907
-177.934936,183,274.953768
-50.877533,1,277.49688
-298.571713,392,284.876956
-55.592055,22,287.84094
-140.817869,122,291.586921
-51.02369,1,294.091145
-162.726952,171,298.448466
-57.016416,27,301.348891
