#{"t_start": 1777384005.9159355, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
185.797448,4097,44.429178
292.873603,4096,86.811215
-2293.268183,4256,130.336874
-5231.816139,4170,178.873152
-1000.516334,2967,216.571786
99.9,1,216.713777
99.9,1,216.818367
99.9,1,216.997221
99.9,1,217.123232
99.9,1,217.266468
99.9,1,217.426748
99.9,1,217.572835
99.9,1,217.725489
99.9,1,217.852443
99.9,1,217.989777
99.9,1,218.138315
99.9,1,218.276015
99.9,1,218.409893
99.9,1,218.560785
99.9,1,218.688024
99.9,1,218.831396
99.9,1,218.991933
99.9,1,219.163142
-5633.519116,4210,259.171901
-1637.05942,4062,308.433117
-3634.618768,4077,357.178543
-2271.026254,4127,405.03454
-2662.737945,2558,439.75978
-3772.95792,3428,484.963312
-1068.614018,2944,522.939107
-1564.451287,3643,567.992423
-1063.686688,3108,619.255168
-3078.194673,3910,669.321826
-457.480609,2472,703.512225
-792.531782,2432,738.230232
-907.913618,2618,775.039361
-408.159402,1944,804.805725
-1207.853149,2354,839.787866
-2450.327948,2150,873.958438
-1603.887398,2042,903.738713
-735.597691,2510,939.971801
-730.724227,1986,969.404212
-1161.69157,2385,1002.13344
-139.14405,2345,1036.029257
-1025.761567,2302,1068.557189
-1562.893388,2177,1100.816378
-1707.169478,2271,1134.62974
-847.642785,2467,1171.942134
-627.239695,2228,1203.546586
-1214.248056,2365,1235.603981
-1271.204316,1999,1265.023097
-1840.470794,2694,1301.638852
-548.929435,1858,1334.176355
-2385.152357,2771,1375.111824
-2149.283583,2227,1408.285851
-4157.325522,3710,1456.381292
-887.152722,2677,1493.803504
-378.937056,2038,1525.697045
-1932.151181,1907,1553.9419
-521.8276,2098,1587.992348
-1808.060518,1918,1617.049049
-2129.4781,2084,1647.980156
-1519.754448,1955,1677.4504
-2103.056413,2145,1711.135749
-476.673279,2035,1742.184887
-2244.791227,2604,1778.995405
-496.488084,1893,1807.588289
-1998.015135,3027,1847.011006
-965.046193,2072,1878.188899
-1053.690222,2211,1910.027423
-400.325285,2309,1942.793111
-2159.23694,2203,1974.962929
-2086.938251,2158,2008.554884
-1654.039978,1855,2037.36963
-947.234559,1660,2067.948795
-2323.231875,2221,2099.343723
-1194.132066,1732,2131.909513
-559.898142,1997,2162.991002
-1228.97634,1772,2191.006917
-1385.02602,1948,2221.64397
-1569.691568,2023,2252.536611
-1089.296249,1346,2276.090314
-690.331211,1830,2302.543809
-1040.002833,1863,2330.488808
-1710.57637,2037,2361.002564
-1101.834603,2460,2396.865043
-1342.041061,2051,2428.127337
-1007.453772,2356,2461.252655
-1926.509526,2410,2494.81635
-394.802257,1880,2524.470436
-1491.569917,2114,2556.378556
-805.27733,1555,2582.942283
-2839.288143,2729,2619.738155
-1933.36415,2171,2650.967261
-1979.019902,2308,2683.835216
-2300.54209,2460,2718.34614
-1521.847652,2349,2751.85564
-1275.786918,1411,2776.882196
-301.703142,1836,2806.938989
-678.370952,1641,2839.818833
-2308.832937,2421,2875.331325
-367.247941,1061,2902.247088
-1793.859219,2041,2933.431069
-1016.415361,1487,2958.095133
-1091.437005,1388,2981.773542
-2131.474073,2109,3012.217306
-2606.990499,2618,3048.116513
-3253.942937,3088,3090.954328
-2215.784764,2115,3123.283387
-493.545895,1293,3145.709307
-562.33945,1673,3171.80424
-2014.655883,2272,3205.611859
-755.380761,939,3225.825988
-2877.441703,2819,3263.531436
-764.497829,1664,3290.98847
-3445.353634,3176,3335.623176
-749.612211,1164,3356.218286
-1847.413685,1943,3386.383517
-3067.398499,3050,3429.055469
-637.550872,988,3448.877162
-460.426563,877,3468.370333
-769.25478,1002,3492.321309
-674.311873,1179,3513.728922
-471.003182,790,3533.371987
-977.162226,1199,3555.619193
