#{"t_start": 1777457033.743998, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
2106.445667,4097,43.59136
2117.666919,2982,72.761335
199.98,1,72.869025
199.98,1,72.996579
199.98,1,73.145652
199.98,1,73.29482
199.98,1,73.4378
199.98,1,73.575646
199.98,1,73.7389
199.98,1,73.900563
199.98,1,74.044223
199.98,1,74.168012
199.98,1,74.355207
199.98,1,74.474482
1200.016235,3853,114.484069
199.98,1,129.437267
1260.998101,4130,169.447961
785.674065,3539,216.602777
1568.108692,3833,262.047989
2044.814683,2986,308.976512
199.98,1,309.082014
199.98,1,309.255697
199.98,1,309.439634
199.98,1,309.669423
199.98,1,309.841833
199.98,1,310.029105
199.98,1,310.157596
199.98,1,310.306749
199.98,1,310.45333
208.17935,1199,323.578259
957.013013,4080,373.592721
1293.444779,2842,410.542218
1561.888795,2434,447.251247
7.557632,4041,497.796483
2121.578719,3346,542.139555
199.98,1,542.258398
199.98,1,542.468848
199.98,1,542.657425
199.98,1,542.812505
199.98,1,542.979501
-848.251069,2014,563.058372
1521.697119,3984,627.263705
448.225588,787,664.844951
482.283686,1292,694.714592
326.453295,834,713.831863
263.263306,709,726.434597
166.411014,688,740.70348
436.078868,879,755.184567
379.783041,721,776.414935
1193.607878,3629,826.840511
255.243538,736,863.58586
324.900568,823,877.076651
290.688839,674,894.655747
-28.373306,1381,915.853456
550.626843,863,935.048145
170.593375,581,953.883135
336.807152,883,967.958794
344.556188,670,980.930926
422.614003,718,992.6196
460.029462,655,1004.563763
502.164627,675,1024.108386
372.140285,722,1036.952045
366.528774,762,1050.055359
-1391.974083,3821,1096.103023
414.320025,711,1112.195475
392.960706,798,1127.659368
372.721955,630,1146.500293
337.725171,746,1159.906642
-788.478606,3808,1205.540756
-198.445266,3824,1258.488658
434.523355,562,1289.82263
-75.669579,4096,1344.094169
402.887165,920,1374.467789
342.627749,698,1391.824954
358.210912,516,1405.043619
219.921244,3599,1445.43227
-46.180783,3155,1495.613842
358.606607,642,1519.596941
271.734371,466,1538.664742
64.201085,244,1545.151107
302.772221,666,1559.378655
203.238661,3243,1600.413341
64.10006,3216,1654.761609
343.568607,673,1684.66939
1487.481045,2449,1717.72634
867.733574,3172,1773.259909
908.896971,2983,1828.138548
357.62918,685,1854.060082
369.413536,671,1872.20832
1064.862658,3204,1910.476704
657.769169,3094,1957.890788
501.738629,3226,2008.154953
335.878905,591,2031.186577
1665.833316,2590,2063.686023
1721.867338,2691,2114.631555
877.005075,2830,2166.820277
1083.54102,2929,2221.157078
374.415561,679,2249.723248
1044.70741,3106,2292.954317
59.132415,3495,2349.441444
1553.988505,2972,2404.650568
474.631647,2955,2460.831963
1418.314267,2833,2511.530789
1656.674638,2580,2567.696343
1916.717224,2574,2615.535969
199.98,1,2615.637893
198.96,2,2615.785716
199.98,1,2615.892323
199.98,1,2616.040957
199.98,1,2616.171902
199.98,1,2616.325544
-713.123303,802,2623.847426
1783.84993,2223,2667.46673
199.98,1,2667.615022
199.98,1,2667.763239
199.98,1,2667.895849
199.98,1,2668.041514
199.98,1,2668.180205
199.98,1,2668.334601
199.98,1,2668.470905
199.98,1,2668.617598
199.98,1,2668.722197
199.98,1,2668.873388
198.96,2,2669.069562
199.98,1,2669.205399
199.98,1,2669.360078
195.9,5,2669.542667
199.98,1,2669.672992
-536.332866,596,2677.151541
1059.71754,2796,2727.575995
1664.730145,2753,2787.024127
2062.231127,2336,2847.346887
199.98,1,2847.506333
199.98,1,2847.64529
199.98,1,2847.780068
199.98,1,2847.922861
199.98,1,2848.066806
199.98,1,2848.193921
199.98,1,2848.361695
199.98,1,2848.520172
197.94,3,2848.652662
196.92,4,2848.790068
198.96,2,2848.91289
197.94,3,2849.081307
199.98,1,2849.203917
198.96,2,2849.371629
199.98,1,2849.500869
198.96,2,2849.64282
195.9,5,2849.832184
197.94,3,2849.966796
196.92,4,2850.125058
-560.207832,564,2857.187989
1576.991288,2612,2906.27422
1809.341352,2057,2950.588501
199.98,1,2950.689236
199.98,1,2950.840353
199.98,1,2950.965601
199.98,1,2951.115668
199.98,1,2951.255877
199.98,1,2951.434932
-229.108989,340,2955.091229
-76.825753,3095,3009.198159
-61.76919,2912,3060.358521
329.543894,704,3091.28442
301.662329,2745,3130.10395
-302.119899,3206,3184.695788
-205.677652,2600,3236.286742
81.670073,2764,3281.902525
370.717763,2587,3329.298268
388.0591,2483,3378.242038
347.483137,1543,3419.282322
4.967803,3157,3469.190428
-343.282812,2409,3519.275831
335.40951,2908,3564.444199
304.173489,2317,3611.228694
-250.458066,3183,3664.895916
407.177755,2686,3712.392915
176.540917,510,3742.661946
429.305915,2847,3777.477099
108.75304,3850,3841.119245
317.336514,789,3870.792321
420.433439,512,3887.811436
189.282626,3121,3924.008527
826.067726,2552,3973.427664
250.515737,4008,4035.039322
1782.414781,2591,4086.635253
1246.142145,4089,4148.620378
1752.568557,4031,4217.011248
-63.015826,2048,4264.692157
762.775557,3115,4322.076743
1157.869223,3976,4386.604494
2344.946244,3366,4451.728705
601.763453,4128,4518.243023
-27.34253,1923,4566.898772
-153.943117,2332,4603.229192
1910.305539,3485,4648.832637
198.96,2,4648.971262
199.98,1,4649.107483
198.96,2,4649.302562
197.94,3,4649.442622
-476.668355,707,4658.006116
450.494036,630,4694.215411
416.033047,665,4714.058194
287.115267,595,4733.392552
133.360944,1152,4749.835894
537.159367,544,4768.470626
2801.229656,3138,4805.45691
