#{"t_start": 1777479109.0670207, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
2111.644508,4097,44.609465
3192.372021,4581,85.514178
-377.378523,582,89.62189
164.733341,6302,150.033486
1047.859216,6058,211.815267
252.305149,5635,274.810564
1627.283321,4646,332.945256
1489.859294,5845,395.650885
4016.578516,5237,450.542139
198.96,2,450.68465
199.98,1,450.803757
197.94,3,451.141052
199.98,1,451.396403
199.98,1,451.659225
199.98,1,451.954983
196.92,4,452.277179
198.96,2,452.606576
199.98,1,452.8639
199.98,1,453.119012
199.98,1,453.391894
199.98,1,453.718474
592.56454,5707,493.723019
1339.158313,4971,563.15558
5658.561547,5713,620.356241
6169.707375,6128,690.775561
5596.676597,4682,752.669671
199.98,1,752.826357
199.98,1,753.140776
199.98,1,753.436503
199.98,1,753.746223
1.614235,1560,764.741153
4995.020172,5980,835.853554
2723.928504,4354,896.287035
513.173218,5964,958.967441
934.570417,5927,1019.762436
734.540763,5750,1080.458467
2802.351803,4824,1153.905096
871.632753,6020,1224.017432
1001.395154,5856,1296.958057
2026.251282,5586,1368.273241
3590.208556,5764,1438.685912
1257.535215,5848,1510.830198
1429.884379,5625,1583.0322
1210.136422,6074,1657.364813
1521.66179,5076,1730.497915
2231.754074,5234,1803.844033
2089.01262,5916,1875.279485
1151.255583,5673,1946.693867
