#{"t_start": 1775674812.5595422, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-52.245471,5,6.926097
-51.452619,1,9.982773
-57.426879,26,13.426393
-51.295169,1,16.493611
-51.065865,1,19.646508
-51.040402,1,22.772666
-50.967122,1,25.862328
-50.941851,1,28.49141
-54.987473,28,31.936793
-156.154687,156,36.81635
-172.338354,150,41.131785
-50.87399,1,44.271175
-69.469456,46,47.940562
-71.272979,24,51.43989
-85.983874,49,55.152149
-115.876786,75,59.02509
-59.409157,27,62.429152
-101.872405,74,66.553663
-84.435276,39,70.358094
-50.894915,1,73.517795
-107.410674,65,77.243851
-83.328095,38,80.923471
-137.187019,98,84.452877
-150.155603,115,88.721815
-50.875553,1,91.744196
-55.371839,6,94.939673
-83.03462,38,98.426872
-111.141753,85,101.924798
-72.203351,37,104.923565
-129.412838,97,108.620493
-94.20279,83,112.572225
-68.388659,21,115.835411
-89.611812,40,119.433548
-68.754535,21,122.764993
-50.847032,1,125.862789
-75.598638,29,129.256125
-50.877532,1,132.315938
-148.889429,112,136.099456
-50.874373,1,139.179764
