#{"t_start": 1775560435.6621504, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-80.17749,43,9.983153
-101.586886,1,12.674442
-52.037325,1,15.282851
-51.618433,1,18.182346
-51.61741,1,18.400847
-51.61821,1,18.585048
-51.758116,2,18.978569
-51.614015,1,19.182042
-51.597965,1,19.379843
-51.598544,1,19.575987
-51.465013,1,20.015691
-51.601857,1,20.076016
-51.272289,1,20.277038
-51.231133,1,20.474036
-51.592256,1,23.178804
-50.947594,1,25.876906
-51.597577,1,28.577209
-51.587128,1,31.276132
-51.762132,1,31.473759
-51.588106,1,31.674955
-51.650446,1,31.874818
-51.600942,1,32.074292
-51.47588,1,32.288641
-51.372357,1,32.577791
-51.267521,1,32.777471
-51.225681,1,32.974216
-51.080043,1,33.173677
-52.016245,1,35.771263
-102.088583,1,38.274578
-101.586685,1,40.980777
-53.19159,1,43.726546
-51.206525,1,46.376171
-102.142571,1,48.974287
-52.333739,1,51.576931
