#{"t_start": 1775651407.2261417, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-53.901871,11,5.856573
-51.488618,1,8.386127
-51.367838,1,10.931839
-51.247705,1,13.473742
-51.195424,1,16.016592
-51.149788,1,18.521635
-55.817328,28,21.345477
-51.046862,1,23.815223
-51.110084,1,26.381156
-51.200718,1,28.969209
-51.230603,1,31.490246
-51.195495,1,34.232009
-53.55415,13,36.85517
-51.138043,1,39.313143
-51.150164,1,41.84976
-51.167379,1,44.425716
-51.106447,1,46.966737
-51.022765,1,49.593232
-50.999779,1,52.11065
-50.95712,1,54.870122
-50.86656,1,57.481873
-50.930575,1,60.147403
-53.953372,11,62.858799
-50.904115,1,65.443623
-50.905472,1,68.037876
-53.511227,11,70.867557
-50.952981,1,73.518871
-50.93168,1,76.206344
-50.962277,1,78.739933
-51.556794,3,81.363083
-73.596004,27,84.349854
-51.498272,1,86.874802
-51.02909,1,89.308582
-50.980916,1,91.86397
-51.008709,1,94.541491
-50.935457,1,97.205937
-50.908069,1,99.794627
-183.958042,155,104.154807
-92.650427,49,107.174942
-172.39789,164,111.668994
-113.541945,91,115.356785
-51.082149,1,117.960122
-51.244482,1,120.75773
-51.164628,1,123.375848
-51.171045,1,125.952208
-57.206697,31,128.85437
-51.135601,1,131.44171
-51.191688,1,134.058713
-51.224944,1,136.645051
-51.192721,1,139.235304
-57.559407,39,142.357765
-56.185108,31,145.378851
-55.957474,27,148.357126
-51.713463,1,151.015671
-51.711099,1,153.603914
-51.282795,1,156.16636
-51.174323,1,158.734509
-51.099293,1,161.259937
-51.010017,1,163.897532
-54.922298,23,166.859332
-50.900625,1,169.359611
-51.249405,1,171.97273
-50.906151,1,174.542534
-86.136122,51,177.751363
-113.684386,72,181.101332
-50.847881,1,183.666732
-183.036366,157,188.215202
-255.718011,261,193.567044
-54.210138,18,196.350889
-136.059502,138,200.608979
-75.334655,38,203.669166
-51.87172,6,206.34553
-51.148297,1,208.95701
-55.492564,24,211.854518
-51.105381,1,215.42557
-51.082717,1,218.003659
-51.052811,1,220.667313
-50.943352,1,223.163527
-50.842511,1,225.788305
-241.899913,276,231.414724
-243.094672,240,239.332617
-53.86749,1,241.892586
-53.314221,1,244.438242
-53.902394,1,247.050975
-53.726708,1,249.586123
-53.889731,1,252.106637
-65.358616,1,254.880749
-52.089579,1,257.376837
-53.899415,1,259.96835
-53.893695,1,262.532564
-53.77139,1,265.239333
-103.6482,1,267.882812
-103.868885,1,270.484524
-52.612496,1,273.0232
-103.903092,1,275.581048
-52.821363,1,278.173402
-102.31292,1,280.717049
-66.209049,13,283.367567
-51.523682,1,285.995777
-84.320717,21,288.862205
-52.060344,1,291.46287
-71.003845,12,294.351968
-51.920258,1,296.997691
-52.092579,1,299.875617
-52.677446,1,302.475145
-52.955455,1,305.109819
-65.459552,11,307.855774
-52.705882,1,310.430974
-75.260398,15,313.353776
-51.460866,1,315.977476
-51.982152,1,318.567972
-51.907209,1,321.11591
-51.555788,1,323.822321
-58.668617,12,327.355051
-52.252072,1,329.863221
-51.722323,1,332.470227
-51.667678,1,335.07284
-51.653171,1,337.647573
-71.087354,31,340.640962
-56.236899,11,343.359237
-51.746823,1,345.932791
-62.568774,24,348.85325
-51.628733,1,351.473599
-51.880775,1,354.206894
-51.587682,1,357.565984
-51.56957,1,360.229028
-51.247432,1,362.888643
-51.928279,1,365.526699
-59.39582,23,368.358054
-51.989486,1,370.843983
-51.753324,1,373.478132
-52.2117,1,376.09994
-59.961581,11,378.852337
-52.459243,1,381.519175
-52.258955,1,384.262351
-85.559047,44,387.404202
-102.809916,1,390.021263
-53.622871,1,392.650245
-53.86773,1,395.330248
-53.538379,1,397.913809
-53.884841,1,400.419092
-53.868872,1,403.045077
-61.136214,19,405.832712
-51.795243,1,408.390972
-101.435585,1,410.910245
-103.539884,1,413.456129
-53.532434,1,415.960168
-53.043225,1,418.625369
-103.517876,1,421.226111
