#{"t_start": 1777379255.0542297, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
-324.960167,4097,45.225262
-328.284429,4096,89.02171
-325.777106,4096,132.779387
-1542.256927,4096,175.838777
-325.847717,4096,219.915842
-1844.563304,4096,262.661463
-397.856685,4096,306.071712
-3906.234365,4101,348.98633
-361.436754,4013,393.025095
-4.55,2,395.225771
-3973.116286,3995,435.74084
-4043.54976,3983,479.366761
-2369.930852,4055,531.32994
-250.964225,3158,576.262886
-353.296858,3965,618.77886
-3844.738042,3239,657.229859
-4103.161391,3203,697.932371
-295.446349,3709,743.757597
-1107.307797,3686,786.282901
-4783.83771,4044,829.602955
-2568.191614,3999,873.914546
-1912.998147,4096,926.331153
-4504.351457,4096,973.264308
