#{"t_start": 1777380304.3861177, "env_id": "RouteCurriculumAgent-v0"}
r,l,t
74.712556,4097,44.382421
-426.002143,4103,87.707897
222.174085,4089,132.187579
-3583.69038,4096,180.792684
475.650362,2696,216.127869
99.9,1,216.217915
99.9,1,216.356115
99.9,1,216.48539
99.9,1,216.678314
99.9,1,216.825851
99.9,1,216.970748
99.9,1,217.107134
99.9,1,217.265755
99.9,1,217.416907
99.9,1,217.56398
99.9,1,217.715765
99.9,1,217.863058
99.9,1,218.013735
99.9,1,218.156383
99.9,1,218.302671
99.9,1,218.443044
99.9,1,218.586365
99.9,1,218.711288
99.9,1,218.845998
99.9,1,218.996724
-3278.52448,3980,259.006165
387.123037,2102,293.309782
99.9,1,293.396657
99.9,1,293.528327
99.9,1,293.671043
99.9,1,293.837288
99.9,1,293.98268
99.9,1,294.148606
99.9,1,294.295873
-3234.685368,3947,334.303065
-3318.971522,4117,383.747101
-3351.095273,4045,438.022949
-4654.214822,3813,493.407463
-1881.875405,4064,541.460831
-3853.967034,4222,590.809447
-2719.223756,3572,648.007056
-1921.01343,4011,696.859395
